"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SLC26A9",53.8385415607163,-1.92894532433852,0.517650306381239,-3.7263482713326,0.000194273927852214,0.0129159662665762,"Down"
"RNF222",124.291471278036,-2.38145493791031,0.639596095029735,-3.72337316693529,0.000196578636148711,0.0130207864032724,"Down"
"CHAC1",1287.0535228537,-1.28408575270769,0.344989645134942,-3.72209940447756,0.000197573208089186,0.0130383736290295,"Down"
"WNT7B",169.842397886453,-1.80313145882408,0.484904603537568,-3.71852823353199,0.000200386898209013,0.0131271768775457,"Down"
"GADL1",24.1301120108909,-2.1908503241383,0.589164111272501,-3.7185739630447,0.000200350631628357,0.0131271768775457,"Down"
"CST6",512.43527813407,-2.1170608356953,0.569643740039613,-3.71646467237238,0.00020202987460184,0.0131865046619683,"Down"
"ZNF432",687.344072699826,-0.9938728947024,0.267538613772207,-3.71487644601696,0.000203303005720414,0.0132213489247414,"Down"
"RPL34",18177.3373145562,-0.532258251053336,0.14340254542124,-3.71163740148298,0.000205922835681,0.0132472086090612,"Down"
"PTCH1",891.703127350616,0.734505791543315,0.197864407994259,3.71216733210871,0.000205492054358623,0.0132472086090612,"Up"
"TPSG1",6.18402254612755,-1.49363510172809,0.402339808906677,-3.71237215076209,0.00020532578392149,0.0132472086090612,"Down"
"KRT80",3325.84046025501,-1.98678085470532,0.535695199954617,-3.70878972757948,0.000208252276808283,0.0133130283334245,"Down"
"CNKSR2",126.694630630601,-1.22751351384052,0.331132998191746,-3.70701053819383,0.000209720219321286,0.0133130283334245,"Down"
"TGM5",196.348629921337,-2.08872743198566,0.56349066319617,-3.70676493579896,0.000209923618319487,0.0133130283334245,"Down"
"PSG4",37.0365573951359,-2.02456024662641,0.546513778284428,-3.70449991760821,0.000211808176859369,0.0133379487146231,"Down"
"FUT2",238.79474206049,-1.42449140838721,0.384479652779964,-3.70498516134075,0.000211403108146017,0.0133379487146231,"Down"
"SCD",42662.314658106,0.873967461578117,0.236012211442136,3.70306034691086,0.000213014185584144,0.0133668269999538,"Up"
"SBSN",21649.0186755286,-2.32473602548638,0.62887740819404,-3.69664420314028,0.000218468186984935,0.0135150693076947,"Down"
"NPTXR",1028.19594030291,1.2897600121222,0.349058107299686,3.69497222711654,0.000219910823559559,0.0135150693076947,"Up"
"GLDC",925.405549571743,-1.35278111839126,0.365930724129324,-3.69682300279649,0.000218314439704617,0.0135150693076947,"Down"
"TINCR",627.068066813101,-1.36012033856586,0.368081528719734,-3.69516053494086,0.000219747899507789,0.0135150693076947,"Down"
"CAMSAP3",409.826327235893,-1.70220821653003,0.460348128993315,-3.69765425190802,0.000217600993469438,0.0135150693076947,"Down"
"LGALSL",1294.24013872052,-0.877667994473428,0.237736134161691,-3.69177364462611,0.000222695621264165,0.0136393441461929,"Down"
"AQP11",152.180359920944,0.935350921911251,0.253555805191442,3.68893514863536,0.00022519460640897,0.013649973279119,"Up"
"C10orf82",7.03618190800503,-1.56243154762075,0.423637941846566,-3.68812939844429,0.000225908763432225,0.013649973279119,"Down"
"ARL4D",778.15646949788,-0.962949032153205,0.261172251270024,-3.68702657908944,0.000226889666929344,0.0136622720652,"Down"
"FNDC1",451.927184070576,1.06962742572841,0.290224963935857,3.68551144333954,0.000228243825875639,0.0136976932280534,"Up"
"LUC7L",2367.74872771542,-0.581480266878167,0.157900271917972,-3.68257926230958,0.000230886046936169,0.0137181596790912,"Down"
"NPIPB4",126.566755411077,-0.836602969819562,0.227148747625042,-3.68306221613229,0.000230448886266029,0.0137181596790912,"Down"
"VIPR1",114.535733102907,-1.61476240864498,0.438315859871312,-3.68401547030279,0.000229588297496084,0.0137181596790912,"Down"
"IFFO2",5230.20966454413,-0.965461053114769,0.262420468600954,-3.67906153914725,0.000234093781473982,0.0138511995200397,"Down"
"ACKR2",81.3566197025977,-1.28639654835127,0.349793427539365,-3.67758924860446,0.00023544870577567,0.0138511995200397,"Down"
"TMEM125",64.4133472028893,-2.01838302183609,0.548815513467714,-3.67770766734135,0.000235339455451176,0.0138511995200397,"Down"
"SLC24A4",603.962191820953,-1.4892590633062,0.405188333064485,-3.6754737039015,0.000237408494619424,0.0138752075744241,"Down"
