"","gene_id","gene_symbol","log2.fc.","pval","qval","fc","up.down","significant","change"
"75","ENSG00000139211","AMIGO2",0.5265,2.20087341086729e-11,3.91755467134377e-08,1.4404,"Up","yes","Up"
"76","ENSG00000140450","ARRDC4",-0.7273,4.96405077413587e-10,5.43754484797652e-07,0.604,"Down","yes","Down"
"77","ENSG00000140743","CDR2",-0.4651,0.000232493423876577,0.0421910226903266,0.7244,"Down","yes","Down"
"78","ENSG00000142173","COL6A2",-0.3673,1.15879016013771e-05,0.00428601867022362,0.7752,"Down","yes","Down"
"79","ENSG00000142798","HSPG2",-0.3584,1.19270446507416e-05,0.00434140903739608,0.7801,"Down","yes","Down"
"80","ENSG00000142871","CCN1",-0.417,7.6389123341292e-07,0.000395556769592726,0.749,"Down","yes","Down"
"81","ENSG00000144821","MYH15",1.0038,4.25846276836392e-06,0.00181016447228365,2.0053,"Up","yes","Up"
"82","ENSG00000146067","FAM193B",-0.4044,5.4781887928161e-05,0.0140557492630092,0.7555,"Down","yes","Down"
"83","ENSG00000146674","IGFBP3",-0.509,2.60256298097001e-16,1.48241987396052e-12,0.7027,"Down","yes","Down"
"84","ENSG00000146733","PSPH",0.4445,2.47635583285611e-05,0.00758350689459591,1.3608,"Up","yes","Up"
"85","ENSG00000146950","SHROOM2",0.5118,6.54125375203235e-05,0.0158859602845686,1.4259,"Up","yes","Up"
"86","ENSG00000147454","SLC25A37",-0.2562,0.000208193755033964,0.0382539235055954,0.8373,"Not","no","Down"
"87","ENSG00000148154","UGCG",-0.4618,1.40945127233e-09,1.48671008281328e-06,0.7261,"Down","yes","Down"
"88","ENSG00000148346","LCN2",-0.9388,6.12006533959601e-22,4.35748652179236e-18,0.5217,"Down","yes","Down"
"89","ENSG00000149599","DUSP15",-0.882,9.29230471226842e-05,0.0204571714922404,0.5426,"Down","yes","Down"
"90","ENSG00000151012","SLC7A11",0.6451,3.20638059196147e-10,4.15080542086649e-07,1.5638,"Up","yes","Up"
"91","ENSG00000153292","ADGRF1",0.4957,2.50839824300423e-05,0.00759991297454898,1.41,"Up","yes","Up"
"92","ENSG00000153885","KCTD15",0.4688,2.04546917688825e-05,0.00654550136604239,1.3839,"Up","yes","Up"
"93","ENSG00000154133","ROBO4",0.3357,0.000261499845549737,0.0456902797623099,1.262,"Up","yes","Up"
"94","ENSG00000155660","PDIA4",0.2732,6.3921541471988e-05,0.0156938405269157,1.2084,"Up","yes","Up"
"95","ENSG00000155850","SLC26A2",0.5702,4.06520588720095e-15,1.44721329584354e-11,1.4848,"Up","yes","Up"
"96","ENSG00000156976","EIF4A2",-0.3681,3.11333012411646e-08,2.33335899828518e-05,0.7748,"Down","yes","Down"
"97","ENSG00000157766","ACAN",-0.8633,4.10543159804898e-09,3.54311187613439e-06,0.5497,"Down","yes","Down"
"98","ENSG00000159388","BTG2",-0.4118,0.000108326233942401,0.0230233667364149,0.7517,"Down","yes","Down"
"99","ENSG00000162892","IL24",-0.4369,2.51800128463672e-10,3.58563382932269e-07,0.7387,"Down","yes","Down"
"100","ENSG00000163235","TGFA",0.4103,3.04794816267303e-08,2.33335899828518e-05,1.3289,"Up","yes","Up"
"101","ENSG00000163597","SNHG16",-0.2556,0.000164471986905499,0.0321402348220695,0.8377,"Not","no","Down"
"102","ENSG00000164244","PRRC1",-0.3566,0.000242148742622617,0.0433735609427179,0.781,"Down","yes","Down"
"103","ENSG00000164889","SLC4A2",0.3483,1.5386321641547e-06,0.000742716000595354,1.273,"Up","yes","Up"
"104","ENSG00000165507","DEPP1",-0.7962,6.58196388194908e-05,0.0158859602845686,0.5759,"Down","yes","Down"
