"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"172","IRF1",2286.54658037282,1.53422764769995,0.248783561720242,6.16691728782785,6.96341575533849e-10,7.54478000095861e-08,"Up"
"173","CCR5",347.458011698398,1.68054665917461,0.273267559959301,6.14982129391757,7.75702976654764e-10,8.35606975314346e-08,"Up"
"174","TNFSF14",48.6023759510961,1.51707668370166,0.246834958976398,6.14611759206569,7.9402427450618e-10,8.50427378143516e-08,"Up"
"175","JAML",426.275005425399,1.37825067084736,0.224590691888066,6.13672213777349,8.42415404725369e-10,8.97100198997827e-08,"Up"
"176","CD37",725.436368064953,1.36123229460212,0.221937303579158,6.13340917750047,8.60155335245073e-10,9.10787206115181e-08,"Up"
"177","RASSF4",1425.61888063044,1.23576682575549,0.201685982865075,6.12718250520265,8.94488509827353e-10,9.41790275092799e-08,"Up"
"178","GIMAP1",180.680302237327,1.21364129692388,0.198156453200658,6.12466198965985,9.08763169629691e-10,9.51444406135894e-08,"Up"
"179","CXCL13",588.77698168396,2.4441966147387,0.399275261202417,6.12158290843765,9.26502884161103e-10,9.645981982808e-08,"Up"
"180","JSRP1",51.6857281062522,2.36414515059478,0.386860767722762,6.1111008089841,9.89462360508692e-10,1.02442336391333e-07,"Up"
"181","SP140",133.232753391521,1.60922973758381,0.263407760382259,6.10927231319414,1.00086429800147e-09,1.02484104711843e-07,"Up"
"182","CCR2",105.646577987231,1.69575431968609,0.277530923767982,6.11014548095462,9.95403599792032e-10,1.02484104711843e-07,"Up"
"183","PARVG",428.404217612516,1.35559992682018,0.22247991927702,6.09313384877789,1.10721408731727e-09,1.12754326400244e-07,"Up"
"184","RCSD1",460.655521441161,1.20928332170059,0.198534296208034,6.09105502070757,1.12168988302797e-09,1.13607677500593e-07,"Up"
"185","CYTH4",710.051535971565,1.20122316274014,0.198195611289504,6.06079597285088,1.35449558538724e-09,1.36445295833927e-07,"Up"
"186","BAAT",511.503973239388,-3.1820182085776,0.52585195759233,-6.05116737255636,1.43799946938654e-09,1.440782694166e-07,"Down"
"187","FCRL6",42.7280650043479,1.67837565475967,0.27751209837438,6.04793688127946,1.46712408513999e-09,1.46210291180047e-07,"Up"
