"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"ZDHHC19",11.9754870285047,-1.57518811412264,0.367936110613318,-4.28114574428952,1.85933529989231e-05,0.0033991630116012,"Down"
"TMEM79",1610.92356711947,-1.31465922039233,0.307695228962838,-4.27260190164049,1.93205212005278e-05,0.00349018385000242,"Down"
"ATG16L2",563.987053615455,-0.763005645997506,0.17882667821863,-4.26673275821112,1.98356531502142e-05,0.00354740820938431,"Down"
"ACTN2",131.704422644601,-1.60379585313852,0.376614779748508,-4.25845171081572,2.05847673507548e-05,0.00364493048812771,"Down"
"NLRP4",7.55038365527732,2.76628182423735,0.650693911978975,4.25127970818748,2.12552512449435e-05,0.00372675405161343,"Up"
"IL1RN",1325.03599652725,-1.68996594153995,0.398061157788608,-4.24549320744682,2.18113116828406e-05,0.0037507067128454,"Down"
"KLC3",327.590940196103,-2.05141609390832,0.483197510883936,-4.24550219672193,2.18104372057923e-05,0.0037507067128454,"Down"
"ELMO3",451.234924583647,-1.30788842851562,0.309150991286383,-4.23058138378748,2.33088092667414e-05,0.00397004518977527,"Down"
"LCE5A",33.3350095570758,-2.74012466787932,0.648331996442153,-4.22642208454355,2.37436433428687e-05,0.00400595582588551,"Down"
"KCNQ4",118.783144917042,-1.46664694853235,0.347373493012181,-4.22210381055449,2.42032584202333e-05,0.00400842203251469,"Down"
"ALOXE3",446.772359475725,-2.51056529188432,0.594628534581493,-4.22207335484041,2.42065298317819e-05,0.00400842203251469,"Down"
"PRG4",20.2934138804495,-1.47326094726511,0.349357571616066,-4.21705744189274,2.47510942238542e-05,0.00406099604678356,"Down"
"GIPR",58.2630295558584,-1.09500004506078,0.260164172437144,-4.2088810107984,2.56638485576495e-05,0.00417247516004549,"Down"
"DEGS2",358.147202642103,-2.11954269306389,0.503945363643993,-4.20589779363705,2.60047743753814e-05,0.00418981427864252,"Down"
"XPC",1305.81413331954,0.634617354274086,0.151374131273309,4.19237652388749,2.76047336391139e-05,0.00421951330258045,"Up"
"CLDN4",656.604856443281,-1.89912119436281,0.452933012377138,-4.19294055073533,2.75361623998737e-05,0.00421951330258045,"Down"
"LYVE1",99.3955388133157,-1.17746335063233,0.280569242181313,-4.19669433997121,2.70839065576808e-05,0.00421951330258045,"Down"
"PDE1C",37.8313671444434,1.49740612108842,0.356866129741753,4.19598834490688,2.71684218241717e-05,0.00421951330258045,"Up"
"EPN3",358.79372119362,-2.13750622370371,0.508759110620165,-4.20141119654474,2.652562961857e-05,0.00421951330258045,"Down"
"UPK1B",22.2064081980101,-2.45280844943463,0.584836669105051,-4.19400591482755,2.7407082999214e-05,0.00421951330258045,"Down"
"LLGL2",853.216020059759,-1.10766046966204,0.265740040429655,-4.16821066133335,3.07000140443632e-05,0.00465287331499484,"Down"
"ATP6V1C2",212.61943054551,-1.23603013297872,0.297205134806214,-4.15884514843475,3.19860639338759e-05,0.00480704846549106,"Down"
"RPL39",5916.9698889013,-0.700636249212543,0.168940335249667,-4.14724078875015,3.36506109120543e-05,0.00501506271292649,"Down"
"CANX",37072.6689825419,0.484935573344658,0.117338870014973,4.13277862044161,3.58403897575789e-05,0.00506366561507761,"Not"
"RPL31",27549.3176276587,-0.590067863319752,0.142719017774244,-4.1344725637976,3.55770750250315e-05,0.00506366561507761,"Down"
"NASP",4972.04309546972,-0.490683326570402,0.118854727295484,-4.1284291987017,3.65249868231386e-05,0.00506366561507761,"Not"
"PRSS8",655.101038508196,-2.24954365341561,0.544337370404518,-4.13262762346058,3.58639510741277e-05,0.00506366561507761,"Down"
"MYOM1",92.547533471128,0.905581832844889,0.219055299492584,4.13403298136389,3.56452287846958e-05,0.00506366561507761,"Up"
"HSD11B2",105.536109036098,-1.19762836584163,0.29006936498124,-4.12876542794887,3.6471624799524e-05,0.00506366561507761,"Down"
"LMTK3",144.053210559751,-1.42597912050849,0.344805363649152,-4.13560597032782,3.54019197400384e-05,0.00506366561507761,"Down"
"REN",2.36921896766134,-2.06032567481366,0.498324696514078,-4.13450444905945,3.55721362851478e-05,0.00506366561507761,"Down"
"LEXM",8.66788599406888,-1.81068829436076,0.438331839396172,-4.13086189872743,3.61405656536138e-05,0.00506366561507761,"Down"
"TRPM8",463.297737667105,1.60641848217863,0.38974697892936,4.12169578989806,3.76093635922791e-05,0.00517389121911015,"Up"
"KY",27.2225362811538,-1.65761574503275,0.40250249692668,-4.11827443976007,3.81719943547442e-05,0.00521120570259729,"Down"
