"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"GEMIN5",1723.5900383472,0.420361511058004,0.106632745510539,3.94214281031015,8.0756865274523e-05,0.0080684680367015,"Not"
"TPRKB",653.084672115615,-0.44960142417682,0.114094036659479,-3.94062159022985,8.12707435810735e-05,0.00807469987891065,"Not"
"DUOX1",2129.10322466786,-1.81810844759692,0.462023617702632,-3.93509850565062,8.31625799683291e-05,0.00815549339132158,"Down"
"TLR1",307.404407753759,0.912559221217006,0.232098144403499,3.93178163299115,8.43186398154544e-05,0.00815549339132158,"Up"
"ALOX12B",750.060362889538,-2.43330030804828,0.618799814058901,-3.93228997935132,8.41404811881385e-05,0.00815549339132158,"Down"
"ST6GALNAC1",105.6964748365,-1.67179922240122,0.42521543111982,-3.93165228740283,8.43640280359255e-05,0.00815549339132158,"Down"
"SCART1",73.3001487719482,-1.10736180391238,0.281640156253711,-3.93183208901089,8.43009407225098e-05,0.00815549339132158,"Down"
"RNF223",37.5781435334914,-2.40834811064563,0.613464219972707,-3.92581675057231,8.64359428504607e-05,0.00831086237600881,"Down"
"FBN1",2705.16675293877,0.85160140285138,0.217168677193174,3.92138228154271,8.80424575109267e-05,0.00841082051377886,"Up"
"GSDMA",751.393926112612,-2.00023827004285,0.510217778048009,-3.9203617672739,8.84161404937613e-05,0.00841082051377886,"Down"
"PCDHGB4",40.8391500461116,1.39505793341158,0.356145658548172,3.91709936630573,8.96208146047151e-05,0.00848031030894563,"Up"
"ANKRD2",5.9924153260523,-1.22074714672754,0.311933692572451,-3.9134828195707,9.09743760065551e-05,0.00856308284474333,"Down"
"LRP5L",135.362998504958,-0.767079915031296,0.196311814514078,-3.90745670060671,9.32727498790539e-05,0.0087334547583089,"Down"
"EPHX3",884.676653197804,-2.07494452399969,0.531673600737237,-3.90266607392674,9.5138916827474e-05,0.00886179369032576,"Down"
"ASPRV1",5196.00344376037,-2.15265722987293,0.552015555840715,-3.89963146345479,9.63392169113237e-05,0.00888108533629955,"Down"
"SCNN1G",26.6771460501369,-2.27026364002385,0.582094441948931,-3.90016374735121,9.61276501902806e-05,0.00888108533629955,"Down"
"LCN2",921.01849130563,-2.23048408693726,0.573125718164679,-3.89178851383592,9.9507966609399e-05,0.00907959425940047,"Down"
"THEM5",382.613668541236,-1.75990970122767,0.452100256590319,-3.89274209773885,9.91175059293238e-05,0.00907959425940047,"Down"
"IL37",43.2884705928761,-2.46114222139534,0.63268586758259,-3.8899908272,0.000100248011266025,0.00910068747960198,"Down"
"MAGOH",1362.1990168248,-0.420269195521589,0.108100028002701,-3.88778063509,0.000101164991030019,0.00910434238556828,"Not"
"EPS8L1",1543.33483700015,-1.17374819711443,0.301933346625027,-3.88744141789715,0.000101306426679048,0.00910434238556828,"Down"
"NPIPA1",225.37287868566,-0.803638631127816,0.206817222644555,-3.88574327056399,0.00010201727475317,0.0091223847084285,"Down"
"HSPBAP1",687.530953602341,-0.497556356796597,0.128244508583744,-3.87974785268635,0.00010456480395706,0.00916684781356889,"Not"
"PRSS3",338.372384834364,-2.33456192356754,0.601706213436015,-3.87990330070905,0.000104498000682194,0.00916684781356889,"Down"
"GRB7",143.798709041949,-1.81700884642789,0.4680757177813,-3.88186948692958,0.000103656507756197,0.00916684781356889,"Down"
"MPIG6B",20.8816581778215,-1.61311352801935,0.415728484805828,-3.88020928797501,0.000104366621318514,0.00916684781356889,"Down"
"B3GNT8",103.6481524255,-1.43809633375604,0.370980431809489,-3.8764749039231,0.000105980735434702,0.00917120325414207,"Down"
"RDH16",68.4669119624767,-1.37614591916621,0.355035508066036,-3.87607968189551,0.000106152934109115,0.00917120325414207,"Down"
"BHMG1",5.0194682304187,1.64118842867208,0.423367366404436,3.87651141515776,0.00010596484075678,0.00917120325414207,"Up"
"LAD1",3688.63686862483,-1.91598311068311,0.496079977005041,-3.86224641085169,0.000112349161423882,0.00965986732165727,"Down"
"PRRC2B",8298.25532985829,0.608528825319009,0.157624787150786,3.86061631751409,0.000113101383753111,0.00967801505761072,"Up"
"PPIH",842.343514857952,-0.427497973893256,0.110844670494791,-3.85673007087288,0.000114913938069652,0.0097862898497031,"Not"
"NYAP2",1.62407226544495,2.5430472624697,0.659751844351752,3.85455119866835,0.000115942119584699,0.00982705624006043,"Up"
