"","gene_id","gene_symbol","log2.fc.","pval","qval","fc","up.down","significant"
"14112","ENSG00000188566","NDOR1",0.0798,0.449764241896275,0.999184980162191,1.0569,"stable","no"
"14113","ENSG00000188573","FBLL1",0.2628,0.50349558789982,0.999184980162191,1.1998,"stable","no"
"14114","ENSG00000188580","NKAIN2",0.9056,0.781642002822891,0.999184980162191,1.8733,"stable","no"
"14115","ENSG00000188582","PAQR9",-0.4551,0.522404128582818,0.999184980162191,0.7295,"stable","no"
"14116","ENSG00000188596","CFAP54",0.0268,0.95536166060577,0.999184980162191,1.0188,"stable","no"
"14117","ENSG00000188599","NPIPP1",0.1111,0.624807021684148,0.999184980162191,1.0801,"stable","no"
"14118","ENSG00000188603","CLN3",0.3173,0.738315349178797,0.999184980162191,1.246,"stable","no"
"14119","ENSG00000188610","FAM72B",-0.0875,0.495271428060803,0.999184980162191,0.9412,"stable","no"
"14120","ENSG00000188611","ASAH2",-0.0038,0.987314681641011,0.999184980162191,0.9974,"stable","no"
"14121","ENSG00000188612","SUMO2",-0.0231,0.772398354561457,0.999184980162191,0.9841,"stable","no"
"14122","ENSG00000188613","NANOS1",-0.3182,0.440385722474841,0.999184980162191,0.8021,"stable","no"
"14123","ENSG00000188620","HMX3",0.1448,0.61249363244898,0.999184980162191,1.1056,"stable","no"
"14124","ENSG00000188626","GOLGA8M",0.5154,0.625239482492763,0.999184980162191,1.4294,"stable","no"
"14125","ENSG00000188636","RTL6",0.1462,0.194787596050915,0.999184980162191,1.1066,"stable","no"
"14126","ENSG00000188641","DPYD",0.0018,0.987538689761179,0.999184980162191,1.0012,"stable","no"
"14127","ENSG00000188643","S100A16",0.0824,0.185109270960068,0.999184980162191,1.0588,"stable","no"
"14128","ENSG00000188646",NA,0.0188,0.996237945810589,0.999184980162191,1.0131,"stable","no"
"14129","ENSG00000188647","PTAR1",-0.2534,0.00334288200475486,0.272015084272624,0.8389,"stable","no"
"14130","ENSG00000188649","CC2D2B",2.628,0.267354565622723,0.999184980162191,6.1815,"stable","no"
"14131","ENSG00000188659","SAXO2",-0.205,0.662306145029641,0.999184980162191,0.8675,"stable","no"
"14132","ENSG00000188662","H1-9P",0.4983,0.196958357420257,0.999184980162191,1.4125,"stable","no"
"14133","ENSG00000188672","RHCE",-0.5279,0.348890705470676,0.999184980162191,0.6936,"stable","no"
"14134","ENSG00000188677","PARVB",-0.1394,0.20716011128981,0.999184980162191,0.9079,"stable","no"
"14135","ENSG00000188681","TEKT4P2",-0.1788,0.359432278568645,0.999184980162191,0.8835,"stable","no"
"14136","ENSG00000188687","SLC4A5",0.6604,0.446179481434598,0.999184980162191,1.5806,"stable","no"
"14137","ENSG00000188690","UROS",0.143,0.15749455309543,0.999184980162191,1.1042,"stable","no"
